date,season,week,games,complete,elapsed,winnerGames,scorers,teams,tieCount
2016-09-11,2016,1,9,True,310,2016_01_CLE_PHI,Jordan Matthews,PHI,1
2016-09-18,2016,2,9,True,247,2016_02_MIA_NE,Danny Amendola,NE,1
2016-09-25,2016,3,8,True,162,2016_03_WAS_NYG,Shane Vereen,NYG,1
2016-10-02,2016,4,7,True,399,2016_04_TEN_HOU,C.J. Fiedorowicz,HOU,1
2016-10-09,2016,5,7,True,217,2016_05_HOU_MIN,Adam Thielen,MIN,1
2016-10-16,2016,6,9,True,256,2016_06_LA_DET,Marvin Jones,DET,1
2016-10-23,2016,7,8,True,166,2016_07_CLE_CIN,Giovani Bernard,CIN,1
2016-10-30,2016,8,7,True,192,2016_08_ARI_CAR,Thomas Davis,CAR,1
2016-11-06,2016,9,6,True,153,2016_09_PHI_NYG,Odell Beckham Jr.,NYG,1
2016-11-13,2016,10,8,True,103,2016_10_GB_TEN,DeMarco Murray,TEN,1
2016-11-20,2016,11,8,True,275,2016_11_ARI_MIN,Adam Thielen,MIN,1
2016-11-27,2016,12,8,True,172,2016_12_LA_NO,Tavon Austin,LA,1
2016-12-04,2016,13,8,True,243,2016_13_MIA_BAL,Terrance West,BAL,1
2016-12-11,2016,14,9,True,159,2016_14_CIN_CLE,Tyler Eifert,CIN,1
2016-12-18,2016,15,8,True,197,2016_15_TEN_KC,Tyreek Hill,KC,1
2017-01-01,2016,17,9,True,204,2016_17_CHI_MIN,Jerick McKinnon,MIN,1
2017-09-10,2017,1,8,True,131,2017_01_OAK_TEN,Amari Cooper,LV,1
2017-09-17,2017,2,8,True,269,2017_02_NE_NO,Rex Burkhead,NE,1
2017-09-24,2017,3,9,True,242,2017_03_TB_MIN,Dalvin Cook,MIN,1
2017-10-01,2017,4,8,True,167,2017_04_TEN_HOU,Lamar Miller,HOU,1
2017-10-08,2017,5,8,True,211,2017_05_BUF_CIN,A.J. Green,CIN,1
2017-10-15,2017,6,7,True,238,2017_06_DET_NO,Kenny Vaccaro,NO,1
2017-10-22,2017,7,8,True,120,2017_07_NO_GB,Aaron Jones,GB,1
2017-10-29,2017,8,7,True,232,2017_08_CHI_NO,Alvin Kamara,NO,1
2017-11-05,2017,9,7,True,245,2017_09_LA_NYG,Tyler Higbee,LA,1
2017-11-12,2017,10,8,True,243,2017_10_MIN_WAS,Maurice Harris,WAS,1
2017-11-19,2017,11,8,True,258,2017_11_LA_MIN,Todd Gurley,LA,1
2017-11-26,2017,12,7,True,201,2017_12_MIA_NE,Rex Burkhead,NE,1
2017-12-03,2017,13,9,True,158,2017_13_KC_NYJ,Travis Kelce,KC,1
2017-12-10,2017,14,8,True,240,2017_14_CHI_CIN,Jordan Howard,CHI,1
2017-12-17,2017,15,8,True,90,2017_15_ARI_WAS,Jamison Crowder,WAS,1
2017-12-24,2017,16,9,True,366,2017_16_LA_TEN,Todd Gurley,LA,1
2017-12-31,2017,17,7,True,17,2017_17_WAS_NYG,Orleans Darkwa,NYG,1
2018-09-09,2018,1,8,True,190,2018_01_HOU_NE,Rob Gronkowski,NE,1
2018-09-16,2018,2,9,True,11,2018_02_PHI_TB,DeSean Jackson,TB,1
2018-09-23,2018,3,10,True,86,2018_03_OAK_MIA,Jordy Nelson,LV,1
2018-09-30,2018,4,8,True,160,2018_04_TB_CHI,Trey Burton,CHI,1
2018-10-07,2018,5,8,True,256,2018_05_ATL_PIT,James Conner,PIT,1
2018-10-14,2018,6,9,True,12,2018_06_IND_NYJ,Morris Claiborne,NYJ,1
2018-10-21,2018,7,7,True,98,2018_07_MIN_NYJ,Adam Thielen,MIN,1
2018-10-28,2018,8,7,True,430,2018_08_BAL_CAR,Alex Collins,BAL,1
2018-11-04,2018,9,7,True,266,2018_09_TB_CAR,Alex Armah,CAR,1
2018-11-11,2018,10,8,True,49,2018_10_BUF_NYJ,LeSean McCoy,BUF,1
2018-11-18,2018,11,7,True,198,2018_11_TB_NYG,Saquon Barkley,NYG,1
2018-11-25,2018,12,7,True,262,2018_12_NYG_PHI,Saquon Barkley,NYG,1
2018-12-02,2018,13,9,True,46,2018_13_CHI_NYG,Alec Ogletree,NYG,1
2018-12-09,2018,14,8,True,161,2018_14_NO_TB,Cameron Brate,TB,1
2018-12-16,2018,15,9,True,200,2018_15_MIA_MIN,Stefon Diggs,MIN,1
2018-12-23,2018,16,9,True,311,2018_16_JAX_MIA,Brandon Bolden,MIA,1
2018-12-30,2018,17,7,True,286,2018_17_MIA_BUF,Josh Allen,BUF,1
2019-09-08,2019,1,7,True,96,2019_01_KC_JAX,Sammy Watkins,KC,1
2019-09-15,2019,2,10,True,130,2019_02_MIN_GB,Jamaal Williams,GB,1
2019-09-22,2019,3,8,True,164,2019_03_DEN_GB,Marquez Valdes-Scantling,GB,1
2019-09-29,2019,4,8,True,183,2019_04_TEN_ATL,A.J. Brown,TEN,1
2019-10-06,2019,5,10,True,334,2019_05_NE_WAS,Steven Sims,WAS,1
2019-10-13,2019,6,6,True,12,2019_06_CIN_BAL,Brandon Wilson,CIN,1
2019-10-20,2019,7,8,True,318,2019_07_OAK_GB,Aaron Jones,GB,1
2019-10-27,2019,8,9,True,141,2019_08_NYJ_JAX,Keelan Cole,JAX,1
2019-11-03,2019,9,6,True,323,2019_09_NYJ_MIA,Jamison Crowder,NYJ,1
2019-11-10,2019,10,7,True,162,2019_10_BAL_CIN,Mark Andrews,BAL,1
2019-11-17,2019,11,8,True,147,2019_11_DAL_DET,Bo Scarbrough,DET,1
2019-11-24,2019,12,9,True,261,2019_12_CAR_NO,Latavius Murray,NO,1
2019-12-01,2019,13,8,True,66,2019_13_PHI_MIA,Miles Sanders,PHI,1
2019-12-08,2019,14,9,True,135,2019_14_IND_TB,Marcus Johnson,IND,1
2019-12-15,2019,15,8,True,196,2019_15_NE_CIN,James White,NE,1
2019-12-22,2019,16,7,True,159,2019_16_NYG_WAS,Sterling Shepard,NYG,1
2019-12-29,2019,17,8,True,88,2019_17_CLE_CIN,Damion Ratley,CLE,1
2020-09-13,2020,1,9,True,198,2020_01_IND_JAX,Nyheim Hines,IND,1
2020-09-20,2020,2,10,True,17,2020_02_SF_NYJ,Raheem Mostert,SF,1
2020-09-27,2020,3,8,True,317,2020_03_CHI_ATL,Hayden Hurst,ATL,1
2020-10-04,2020,4,8,True,167,2020_04_CLE_DAL,Odell Beckham Jr.,CLE,1
2020-10-11,2020,5,7,True,401,2020_05_CAR_ATL,Todd Gurley,ATL,1
2020-10-18,2020,6,9,True,178,2020_06_ATL_MIN,Julio Jones,ATL,1
2020-10-25,2020,7,7,True,339,2020_07_GB_HOU,Davante Adams,GB,1
2020-11-01,2020,8,8,True,54,2020_08_PIT_BAL,Robert Spillane,PIT,1
2020-11-08,2020,9,8,True,52,2020_09_HOU_JAX,DJ Chark,JAX,1
2020-11-15,2020,10,5,True,229,2020_10_PHI_NYG,Daniel Jones,NYG,1
2020-11-22,2020,11,7,True,383,2020_11_TEN_BAL,Jonnu Smith,TEN,1
2020-11-29,2020,12,8,True,154,2020_12_LAC_BUF,Dawson Knox,BUF,1
2020-12-06,2020,13,7,True,147,2020_13_JAX_MIN,Laviska Shenault Jr.,JAX,1
2020-12-13,2020,14,7,True,282,2020_14_DEN_CAR,Diontae Spencer,DEN,1
2020-12-20,2020,15,8,True,266,2020_15_TB_ATL,Russell Gage,ATL,1
2020-12-27,2020,16,6,True,312,2020_16_IND_PIT,Jonathan Taylor,IND,1
2021-01-03,2020,17,7,True,194,2020_17_DAL_NYG,Sterling Shepard,NYG,1
2021-09-12,2021,1,9,True,346,2021_01_LAC_WAS,Austin Ekeler,LAC,1
2021-09-19,2021,2,9,True,147,2021_02_BUF_MIA,Devin Singletary,BUF,1
2021-09-26,2021,3,9,True,247,2021_03_WAS_BUF,Emmanuel Sanders,BUF,1
2021-10-03,2021,4,9,True,371,2021_04_DET_CHI,David Montgomery,CHI,1
2021-10-10,2021,5,8,True,60,2021_05_TEN_JAX,Kevin Byard,TEN,1
2021-10-17,2021,6,7,True,351,2021_06_KC_WAS,Darrel Williams,KC,1
2021-10-24,2021,7,6,True,137,2021_07_NYJ_NE,Nelson Agholor,NE,1
2021-10-31,2021,8,8,True,328,2021_08_LA_HOU,Darrell Henderson,LA,1
2021-11-07,2021,9,8,True,254,2021_09_LV_NYG,Evan Engram,NYG,1
2021-11-14,2021,10,7,True,165,2021_10_BUF_NYJ,Matt Breida,BUF,1
2021-11-21,2021,11,9,True,328,2021_11_WAS_CAR,DJ Moore,CAR,1
2021-11-28,2021,12,7,True,331,2021_12_PIT_CIN,Joe Burrow,CIN,1
2021-12-05,2021,13,7,True,138,2021_13_PHI_NYJ,Elijah Moore,NYJ,1
2021-12-12,2021,14,7,True,17,2021_14_LV_KC,Mike Hughes,KC,1
2021-12-19,2021,15,6,True,439,2021_15_TEN_PIT,Ryan Tannehill,TEN,1
2021-12-26,2021,16,8,True,467,2021_16_LA_MIN,Sony Michel,LA,1
2022-01-02,2021,17,9,True,18,2021_17_NYG_CHI,David Montgomery,CHI,1
2022-01-09,2021,18,7,True,432,2021_18_IND_JAX,Laquon Treadwell,JAX,1
2022-09-11,2022,1,9,True,137,2022_01_PIT_CIN,Minkah Fitzpatrick,PIT,1
2022-09-18,2022,2,7,True,13,2022_02_MIA_BAL,Devin Duvernay,BAL,1
2022-09-25,2022,3,9,True,156,2022_03_KC_IND,Jelani Woods,IND,1
2022-10-02,2022,4,9,True,94,2022_04_BUF_BAL,J.K. Dobbins,BAL,1
